"rgn_id","year","employ_pop"
34,2005,880534.8
34,2006,929453.4
34,2007,948477.3
34,2008,952553.85
34,2009,866946.3
34,2010,831616.2
34,2011,887329.05
34,2012,911788.35
34,2013,930812.25
34,2014,945759.6
35,2000,6407099.712
35,2001,6704475.648
35,2002,6668430.08
35,2003,6632384.512
35,2004,6524247.808
35,2005,6533259.2
35,2006,6587327.552
35,2007,6686452.864
35,2008,6695464.256
35,2009,6506225.024
35,2010,6497213.632
35,2011,6632384.512
35,2012,6650407.296
35,2013,6704475.648
35,2014,6749532.608
36,2000,3566132.091
36,2001,3618498.201
36,2002,3618498.201
36,2003,3597551.757
36,2004,3576605.313
36,2005,3581841.924
36,2006,3628971.423
36,2007,3681337.533
36,2008,3723230.421
36,2009,3597551.757
36,2010,3566132.091
36,2011,3613261.59
36,2012,3634208.034
36,2013,3608024.979
36,2014,3597551.757
37,2000,6407099.712
37,2001,6704475.648
37,2002,6668430.08
37,2003,6632384.512
37,2004,6524247.808
37,2005,6533259.2
37,2006,6587327.552
37,2007,6686452.864
37,2008,6695464.256
37,2009,6506225.024
37,2010,6497213.632
37,2011,6632384.512
37,2012,6650407.296
37,2013,6704475.648
37,2014,6749532.608
38,2000,3566132.091
38,2001,3618498.201
38,2002,3618498.201
38,2003,3597551.757
38,2004,3576605.313
38,2005,3581841.924
38,2006,3628971.423
38,2007,3681337.533
38,2008,3723230.421
38,2009,3597551.757
38,2010,3566132.091
38,2011,3613261.59
38,2012,3634208.034
38,2013,3608024.979
38,2014,3597551.757
39,2000,6407099.712
39,2001,6704475.648
39,2002,6668430.08
39,2003,6632384.512
39,2004,6524247.808
39,2005,6533259.2
39,2006,6587327.552
39,2007,6686452.864
39,2008,6695464.256
39,2009,6506225.024
39,2010,6497213.632
39,2011,6632384.512
39,2012,6650407.296
39,2013,6704475.648
39,2014,6749532.608
40,2000,3566132.091
40,2001,3618498.201
40,2002,3618498.201
40,2003,3597551.757
40,2004,3576605.313
40,2005,3581841.924
40,2006,3628971.423
40,2007,3681337.533
40,2008,3723230.421
40,2009,3597551.757
40,2010,3566132.091
40,2011,3613261.59
40,2012,3634208.034
40,2013,3608024.979
40,2014,3597551.757
41,2000,6407099.712
41,2001,6704475.648
41,2002,6668430.08
41,2003,6632384.512
41,2004,6524247.808
41,2005,6533259.2
41,2006,6587327.552
41,2007,6686452.864
41,2008,6695464.256
41,2009,6506225.024
41,2010,6497213.632
41,2011,6632384.512
41,2012,6650407.296
41,2013,6704475.648
41,2014,6749532.608
42,2000,3566132.091
42,2001,3618498.201
42,2002,3618498.201
42,2003,3597551.757
42,2004,3576605.313
42,2005,3581841.924
42,2006,3628971.423
42,2007,3681337.533
42,2008,3723230.421
42,2009,3597551.757
42,2010,3566132.091
42,2011,3613261.59
42,2012,3634208.034
42,2013,3608024.979
42,2014,3597551.757
