year,subbasin,input_n_tonnes,flow_cubicm_per_sec,maximum_allowable_input,rollmean3yr_input
2004,Danish Straits,68854,219,65998,68178
2005,Danish Straits,60283,197,65998,59335
2006,Danish Straits,69296,226,65998,66144
2007,Danish Straits,76966,300,65998,68848
2008,Danish Straits,64619,238,65998,70294
2009,Danish Straits,52172,170,65998,64586
2010,Danish Straits,65842,255,65998,60878
2011,Danish Straits,66644,257,65998,61553
2012,Danish Straits,59357,233,65998,63948
2013,Danish Straits,57854,220,65998,61285
2014,Danish Straits,58802,210,65998,58671
2015,Danish Straits,72987,275,65998,63214
2016,Danish Straits,58160,222,65998,63316
2017,Danish Straits,65939,256,65998,65695
1997,Gulf of Finland,102504,2963,101800,113647
1998,Gulf of Finland,127514,3541,101800,112971
1999,Gulf of Finland,124679,3645,101800,118232
2000,Gulf of Finland,126794,3215,101800,126329
2001,Gulf of Finland,130051,3413,101800,127175
2002,Gulf of Finland,136415,3028,101800,131087
2003,Gulf of Finland,142466,2336,101800,136311
2004,Gulf of Finland,151536,3629,101800,143472
2005,Gulf of Finland,124246,3970,101800,139416
2006,Gulf of Finland,153692,2852,101800,143158
2007,Gulf of Finland,133713,3307,101800,137217
2008,Gulf of Finland,122275,4064,101800,136560
2009,Gulf of Finland,126933,3832,101800,127640
2010,Gulf of Finland,117664,4070,101800,122291
2011,Gulf of Finland,135759,3921,101800,126785
2012,Gulf of Finland,131484,4242,101800,128302
2013,Gulf of Finland,118707,4051,101800,128650
2014,Gulf of Finland,109484,3461,101800,119892
2015,Gulf of Finland,95542,3137,101800,107911
2016,Gulf of Finland,113773,3801,101800,106266
2017,Gulf of Finland,122572,3803,101800,110629
1997,Gulf of Riga,100878,1070,88417,88998
1998,Gulf of Riga,110054,1482,88417,93303
1999,Gulf of Riga,96087,1094,88417,102340
2000,Gulf of Riga,83151,1021,88417,96431
2001,Gulf of Riga,97397,1078,88417,92212
2002,Gulf of Riga,80252,987,88417,86933
2003,Gulf of Riga,57097,758,88417,78249
2004,Gulf of Riga,89158,1195,88417,75502
2005,Gulf of Riga,82392,1140,88417,76216
2006,Gulf of Riga,63204,834,88417,78251
2007,Gulf of Riga,109373,986,88417,84990
2008,Gulf of Riga,103288,1115,88417,91955
2009,Gulf of Riga,73734,1149,88417,95465
2010,Gulf of Riga,89981,1310,88417,89001
2011,Gulf of Riga,107801,1101,88417,90505
2012,Gulf of Riga,95313,1371,88417,97698
2013,Gulf of Riga,76652,1074,88417,93255
2014,Gulf of Riga,57800,692,88417,76588
2015,Gulf of Riga,64746,720,88417,66399
2016,Gulf of Riga,88950,959,88417,70499
2017,Gulf of Riga,115061,1453,88417,89586
1997,Kattegat,69407,832,74000,74635
1998,Kattegat,97167,1164,74000,76422
1999,Kattegat,108528,1442,74000,91701
2000,Kattegat,102687,1313,74000,102794
2001,Kattegat,91196,1396,74000,100804
2002,Kattegat,89127,1107,74000,94337
2003,Kattegat,66219,703,74000,82181
2004,Kattegat,80420,952,74000,78589
2005,Kattegat,70428,888,74000,72356
2006,Kattegat,87931,1079,74000,79593
2007,Kattegat,89827,1313,74000,82729
2008,Kattegat,84354,1296,74000,87371
2009,Kattegat,66515,967,74000,80232
2010,Kattegat,68692,1169,74000,73187
2011,Kattegat,72825,1172,74000,69344
2012,Kattegat,73939,1234,74000,71819
2013,Kattegat,60521,931,74000,69095
2014,Kattegat,76751,1227,74000,70404
2015,Kattegat,78611,1201,74000,71961
2016,Kattegat,63253,922,74000,72872
2017,Kattegat,67757,900,74000,69874
