"year","pcb153","unit","subbasin"
1990,40.246,"kg/year","Gdansk Basin"
1990,40.246,"kg/year","Northern Baltic Proper"
1990,40.246,"kg/year","Western Gotland Basin"
1991,35.394,"kg/year","Arkona Basin"
1991,35.394,"kg/year","Bornholm Basin"
1991,35.394,"kg/year","Eastern Gotland Basin"
1991,35.394,"kg/year","Gdansk Basin"
1991,35.394,"kg/year","Northern Baltic Proper"
1991,35.394,"kg/year","Western Gotland Basin"
1992,34.999,"kg/year","Arkona Basin"
1992,34.999,"kg/year","Bornholm Basin"
1992,34.999,"kg/year","Eastern Gotland Basin"
1992,34.999,"kg/year","Gdansk Basin"
1992,34.999,"kg/year","Northern Baltic Proper"
1992,34.999,"kg/year","Western Gotland Basin"
1993,32.128,"kg/year","Arkona Basin"
1993,32.128,"kg/year","Bornholm Basin"
1993,32.128,"kg/year","Eastern Gotland Basin"
1993,32.128,"kg/year","Gdansk Basin"
1993,32.128,"kg/year","Northern Baltic Proper"
1993,32.128,"kg/year","Western Gotland Basin"
1994,32.729,"kg/year","Arkona Basin"
1994,32.729,"kg/year","Bornholm Basin"
1994,32.729,"kg/year","Eastern Gotland Basin"
1994,32.729,"kg/year","Gdansk Basin"
1994,32.729,"kg/year","Northern Baltic Proper"
1994,32.729,"kg/year","Western Gotland Basin"
1995,30.819,"kg/year","Arkona Basin"
1995,30.819,"kg/year","Bornholm Basin"
1995,30.819,"kg/year","Eastern Gotland Basin"
1995,30.819,"kg/year","Gdansk Basin"
1995,30.819,"kg/year","Northern Baltic Proper"
1995,30.819,"kg/year","Western Gotland Basin"
1996,27.66,"kg/year","Arkona Basin"
1996,27.66,"kg/year","Bornholm Basin"
1996,27.66,"kg/year","Eastern Gotland Basin"
1996,27.66,"kg/year","Gdansk Basin"
1996,27.66,"kg/year","Northern Baltic Proper"
1996,27.66,"kg/year","Western Gotland Basin"
1997,28.758,"kg/year","Arkona Basin"
1997,28.758,"kg/year","Bornholm Basin"
1997,28.758,"kg/year","Eastern Gotland Basin"
1997,28.758,"kg/year","Gdansk Basin"
1997,28.758,"kg/year","Northern Baltic Proper"
1997,28.758,"kg/year","Western Gotland Basin"
1998,31.275,"kg/year","Arkona Basin"
1998,31.275,"kg/year","Bornholm Basin"
1998,31.275,"kg/year","Eastern Gotland Basin"
1998,31.275,"kg/year","Gdansk Basin"
1998,31.275,"kg/year","Northern Baltic Proper"
1998,31.275,"kg/year","Western Gotland Basin"
1999,31.935,"kg/year","Arkona Basin"
1999,31.935,"kg/year","Bornholm Basin"
1999,31.935,"kg/year","Eastern Gotland Basin"
1999,31.935,"kg/year","Gdansk Basin"
1999,31.935,"kg/year","Northern Baltic Proper"
1999,31.935,"kg/year","Western Gotland Basin"
2000,28.376,"kg/year","Arkona Basin"
2000,28.376,"kg/year","Bornholm Basin"
2000,28.376,"kg/year","Eastern Gotland Basin"
2000,28.376,"kg/year","Gdansk Basin"
2000,28.376,"kg/year","Northern Baltic Proper"
2000,28.376,"kg/year","Western Gotland Basin"
2001,25.11,"kg/year","Arkona Basin"
2001,25.11,"kg/year","Bornholm Basin"
2001,25.11,"kg/year","Eastern Gotland Basin"
2001,25.11,"kg/year","Gdansk Basin"
2001,25.11,"kg/year","Northern Baltic Proper"
2001,25.11,"kg/year","Western Gotland Basin"
2002,22.794,"kg/year","Arkona Basin"
2002,22.794,"kg/year","Bornholm Basin"
2002,22.794,"kg/year","Eastern Gotland Basin"
2002,22.794,"kg/year","Gdansk Basin"
2002,22.794,"kg/year","Northern Baltic Proper"
2002,22.794,"kg/year","Western Gotland Basin"
2003,19.839,"kg/year","Arkona Basin"
2003,19.839,"kg/year","Bornholm Basin"
2003,19.839,"kg/year","Eastern Gotland Basin"
2003,19.839,"kg/year","Gdansk Basin"
2003,19.839,"kg/year","Northern Baltic Proper"
2003,19.839,"kg/year","Western Gotland Basin"
2004,19.066,"kg/year","Arkona Basin"
2004,19.066,"kg/year","Bornholm Basin"
2004,19.066,"kg/year","Eastern Gotland Basin"
2004,19.066,"kg/year","Gdansk Basin"
2004,19.066,"kg/year","Northern Baltic Proper"
2004,19.066,"kg/year","Western Gotland Basin"
2005,20.158,"kg/year","Arkona Basin"
2005,20.158,"kg/year","Bornholm Basin"
2005,20.158,"kg/year","Eastern Gotland Basin"
2005,20.158,"kg/year","Gdansk Basin"
2005,20.158,"kg/year","Northern Baltic Proper"
2005,20.158,"kg/year","Western Gotland Basin"
2006,21.105,"kg/year","Arkona Basin"
2006,21.105,"kg/year","Bornholm Basin"
2006,21.105,"kg/year","Eastern Gotland Basin"
2006,21.105,"kg/year","Gdansk Basin"
2006,21.105,"kg/year","Northern Baltic Proper"
2006,21.105,"kg/year","Western Gotland Basin"
2007,18.958,"kg/year","Arkona Basin"
2007,18.958,"kg/year","Bornholm Basin"
2007,18.958,"kg/year","Eastern Gotland Basin"
2007,18.958,"kg/year","Gdansk Basin"
2007,18.958,"kg/year","Northern Baltic Proper"
2007,18.958,"kg/year","Western Gotland Basin"
2008,17.948,"kg/year","Arkona Basin"
2008,17.948,"kg/year","Bornholm Basin"
2008,17.948,"kg/year","Eastern Gotland Basin"
2008,17.948,"kg/year","Gdansk Basin"
2008,17.948,"kg/year","Northern Baltic Proper"
2008,17.948,"kg/year","Western Gotland Basin"
2009,15.897,"kg/year","Arkona Basin"
2009,15.897,"kg/year","Bornholm Basin"
2009,15.897,"kg/year","Eastern Gotland Basin"
2009,15.897,"kg/year","Gdansk Basin"
2009,15.897,"kg/year","Northern Baltic Proper"
2009,15.897,"kg/year","Western Gotland Basin"
2010,18.875,"kg/year","Arkona Basin"
2010,18.875,"kg/year","Bornholm Basin"
2010,18.875,"kg/year","Eastern Gotland Basin"
2010,18.875,"kg/year","Gdansk Basin"
2010,18.875,"kg/year","Northern Baltic Proper"
2010,18.875,"kg/year","Western Gotland Basin"
2011,16.901,"kg/year","Arkona Basin"
2011,16.901,"kg/year","Bornholm Basin"
2011,16.901,"kg/year","Eastern Gotland Basin"
2011,16.901,"kg/year","Gdansk Basin"
2011,16.901,"kg/year","Northern Baltic Proper"
2011,16.901,"kg/year","Western Gotland Basin"
2012,16.655,"kg/year","Arkona Basin"
2012,16.655,"kg/year","Bornholm Basin"
2012,16.655,"kg/year","Eastern Gotland Basin"
2012,16.655,"kg/year","Gdansk Basin"
2012,16.655,"kg/year","Northern Baltic Proper"
2012,16.655,"kg/year","Western Gotland Basin"
2013,15.396,"kg/year","Arkona Basin"
2013,15.396,"kg/year","Bornholm Basin"
2013,15.396,"kg/year","Eastern Gotland Basin"
2013,15.396,"kg/year","Gdansk Basin"
2013,15.396,"kg/year","Northern Baltic Proper"
2013,15.396,"kg/year","Western Gotland Basin"
2014,16.928,"kg/year","Arkona Basin"
2014,16.928,"kg/year","Bornholm Basin"
2014,16.928,"kg/year","Eastern Gotland Basin"
2014,16.928,"kg/year","Gdansk Basin"
2014,16.928,"kg/year","Northern Baltic Proper"
2014,16.928,"kg/year","Western Gotland Basin"
2015,15.05,"kg/year","Arkona Basin"
2015,15.05,"kg/year","Bornholm Basin"
2015,15.05,"kg/year","Eastern Gotland Basin"
2015,15.05,"kg/year","Gdansk Basin"
2015,15.05,"kg/year","Northern Baltic Proper"
2015,15.05,"kg/year","Western Gotland Basin"
2016,14.129,"kg/year","Arkona Basin"
2016,14.129,"kg/year","Bornholm Basin"
2016,14.129,"kg/year","Eastern Gotland Basin"
2016,14.129,"kg/year","Gdansk Basin"
2016,14.129,"kg/year","Northern Baltic Proper"
2016,14.129,"kg/year","Western Gotland Basin"
1990,9.653,"kg/year","Gulf of Finland"
1991,9.426,"kg/year","Gulf of Finland"
1992,9.096,"kg/year","Gulf of Finland"
1993,8.323,"kg/year","Gulf of Finland"
1994,8.472,"kg/year","Gulf of Finland"
1995,8.723,"kg/year","Gulf of Finland"
1996,8.248,"kg/year","Gulf of Finland"
1997,7.828,"kg/year","Gulf of Finland"
1998,8.346,"kg/year","Gulf of Finland"
1999,8.421,"kg/year","Gulf of Finland"
2000,7.766,"kg/year","Gulf of Finland"
2001,7.529,"kg/year","Gulf of Finland"
2002,6.331,"kg/year","Gulf of Finland"
2003,6.428,"kg/year","Gulf of Finland"
2004,6.395,"kg/year","Gulf of Finland"
2005,6.588,"kg/year","Gulf of Finland"
2006,6.454,"kg/year","Gulf of Finland"
2007,6.001,"kg/year","Gulf of Finland"
2008,5.98,"kg/year","Gulf of Finland"
2009,5.279,"kg/year","Gulf of Finland"
2010,6.077,"kg/year","Gulf of Finland"
2011,5.708,"kg/year","Gulf of Finland"
2012,5.554,"kg/year","Gulf of Finland"
2013,5.219,"kg/year","Gulf of Finland"
2014,5.204,"kg/year","Gulf of Finland"
2015,4.886,"kg/year","Gulf of Finland"
2016,4.804,"kg/year","Gulf of Finland"
1990,6.305,"kg/year","Gulf of Riga"
1991,6.052,"kg/year","Gulf of Riga"
1992,5.788,"kg/year","Gulf of Riga"
1993,5.256,"kg/year","Gulf of Riga"
1994,4.986,"kg/year","Gulf of Riga"
1995,5.134,"kg/year","Gulf of Riga"
1996,4.605,"kg/year","Gulf of Riga"
1997,4.629,"kg/year","Gulf of Riga"
1998,4.782,"kg/year","Gulf of Riga"
1999,5.048,"kg/year","Gulf of Riga"
2000,4.6,"kg/year","Gulf of Riga"
2001,4.321,"kg/year","Gulf of Riga"
2002,3.508,"kg/year","Gulf of Riga"
2003,3.374,"kg/year","Gulf of Riga"
2004,3.244,"kg/year","Gulf of Riga"
2005,3.971,"kg/year","Gulf of Riga"
2006,3.763,"kg/year","Gulf of Riga"
2007,3.46,"kg/year","Gulf of Riga"
2008,3.353,"kg/year","Gulf of Riga"
2009,2.897,"kg/year","Gulf of Riga"
2010,3.41,"kg/year","Gulf of Riga"
2011,3.174,"kg/year","Gulf of Riga"
2012,3.341,"kg/year","Gulf of Riga"
2013,2.827,"kg/year","Gulf of Riga"
2014,2.889,"kg/year","Gulf of Riga"
2015,2.609,"kg/year","Gulf of Riga"
2016,2.456,"kg/year","Gulf of Riga"
1990,7.682,"kg/year","Kattegat"
1991,6.334,"kg/year","Kattegat"
1992,6.389,"kg/year","Kattegat"
1993,5.907,"kg/year","Kattegat"
1994,5.578,"kg/year","Kattegat"
1995,5.447,"kg/year","Kattegat"
1996,4.692,"kg/year","Kattegat"
1997,4.925,"kg/year","Kattegat"
1998,5.393,"kg/year","Kattegat"
1999,5.812,"kg/year","Kattegat"
2000,5.477,"kg/year","Kattegat"
2001,4.061,"kg/year","Kattegat"
2002,3.834,"kg/year","Kattegat"
2003,3.441,"kg/year","Kattegat"
2004,3.147,"kg/year","Kattegat"
2005,3.032,"kg/year","Kattegat"
2006,3.525,"kg/year","Kattegat"
2007,2.962,"kg/year","Kattegat"
2008,2.861,"kg/year","Kattegat"
2009,2.682,"kg/year","Kattegat"
2010,2.868,"kg/year","Kattegat"
2011,2.803,"kg/year","Kattegat"
2012,2.671,"kg/year","Kattegat"
2013,2.447,"kg/year","Kattegat"
2014,3.003,"kg/year","Kattegat"
2015,2.481,"kg/year","Kattegat"
2016,2.397,"kg/year","Kattegat"
1990,3.31,"kg/year","The Sound"
1991,2.892,"kg/year","The Sound"
1992,2.743,"kg/year","The Sound"
1993,2.513,"kg/year","The Sound"
1994,2.112,"kg/year","The Sound"
1995,1.932,"kg/year","The Sound"
1996,1.739,"kg/year","The Sound"
1997,1.851,"kg/year","The Sound"
1998,2.082,"kg/year","The Sound"
1999,2.078,"kg/year","The Sound"
2000,1.868,"kg/year","The Sound"
2001,1.633,"kg/year","The Sound"
2002,1.512,"kg/year","The Sound"
2003,1.39,"kg/year","The Sound"
2004,1.324,"kg/year","The Sound"
2005,1.279,"kg/year","The Sound"
2006,1.418,"kg/year","The Sound"
2007,1.324,"kg/year","The Sound"
2008,1.276,"kg/year","The Sound"
2009,1.138,"kg/year","The Sound"
2010,1.18,"kg/year","The Sound"
2011,1.227,"kg/year","The Sound"
2012,1.163,"kg/year","The Sound"
2013,1.084,"kg/year","The Sound"
2014,1.221,"kg/year","The Sound"
2015,1.135,"kg/year","The Sound"
2016,1.085,"kg/year","The Sound"
1990,13.992,"kg/year","Bay of Mecklenburg"
1990,13.992,"kg/year","Great Belt"
1990,13.992,"kg/year","Kiel Bay"
1991,12.092,"kg/year","Bay of Mecklenburg"
1991,12.092,"kg/year","Great Belt"
1991,12.092,"kg/year","Kiel Bay"
1992,12.122,"kg/year","Bay of Mecklenburg"
1992,12.122,"kg/year","Great Belt"
1992,12.122,"kg/year","Kiel Bay"
1993,11.206,"kg/year","Bay of Mecklenburg"
1993,11.206,"kg/year","Great Belt"
1993,11.206,"kg/year","Kiel Bay"
1994,11.244,"kg/year","Bay of Mecklenburg"
1994,11.244,"kg/year","Great Belt"
1994,11.244,"kg/year","Kiel Bay"
1995,9.826,"kg/year","Bay of Mecklenburg"
1995,9.826,"kg/year","Great Belt"
1995,9.826,"kg/year","Kiel Bay"
1996,8.597,"kg/year","Bay of Mecklenburg"
1996,8.597,"kg/year","Great Belt"
1996,8.597,"kg/year","Kiel Bay"
1997,9.144,"kg/year","Bay of Mecklenburg"
1997,9.144,"kg/year","Great Belt"
1997,9.144,"kg/year","Kiel Bay"
1998,11.053,"kg/year","Bay of Mecklenburg"
1998,11.053,"kg/year","Great Belt"
1998,11.053,"kg/year","Kiel Bay"
1999,10.702,"kg/year","Bay of Mecklenburg"
1999,10.702,"kg/year","Great Belt"
1999,10.702,"kg/year","Kiel Bay"
2000,9.788,"kg/year","Bay of Mecklenburg"
2000,9.788,"kg/year","Great Belt"
2000,9.788,"kg/year","Kiel Bay"
2001,7.721,"kg/year","Bay of Mecklenburg"
2001,7.721,"kg/year","Great Belt"
2001,7.721,"kg/year","Kiel Bay"
2002,7.214,"kg/year","Bay of Mecklenburg"
2002,7.214,"kg/year","Great Belt"
2002,7.214,"kg/year","Kiel Bay"
2003,6.147,"kg/year","Bay of Mecklenburg"
2003,6.147,"kg/year","Great Belt"
2003,6.147,"kg/year","Kiel Bay"
2004,5.609,"kg/year","Bay of Mecklenburg"
2004,5.609,"kg/year","Great Belt"
2004,5.609,"kg/year","Kiel Bay"
2005,5.384,"kg/year","Bay of Mecklenburg"
2005,5.384,"kg/year","Great Belt"
2005,5.384,"kg/year","Kiel Bay"
2006,6.054,"kg/year","Bay of Mecklenburg"
2006,6.054,"kg/year","Great Belt"
2006,6.054,"kg/year","Kiel Bay"
2007,5.342,"kg/year","Bay of Mecklenburg"
2007,5.342,"kg/year","Great Belt"
2007,5.342,"kg/year","Kiel Bay"
2008,5.147,"kg/year","Bay of Mecklenburg"
2008,5.147,"kg/year","Great Belt"
2008,5.147,"kg/year","Kiel Bay"
2009,4.665,"kg/year","Bay of Mecklenburg"
2009,4.665,"kg/year","Great Belt"
2009,4.665,"kg/year","Kiel Bay"
2010,4.628,"kg/year","Bay of Mecklenburg"
2010,4.628,"kg/year","Great Belt"
2010,4.628,"kg/year","Kiel Bay"
2011,4.683,"kg/year","Bay of Mecklenburg"
2011,4.683,"kg/year","Great Belt"
2011,4.683,"kg/year","Kiel Bay"
2012,4.44,"kg/year","Bay of Mecklenburg"
2012,4.44,"kg/year","Great Belt"
2012,4.44,"kg/year","Kiel Bay"
2013,4.27,"kg/year","Bay of Mecklenburg"
2013,4.27,"kg/year","Great Belt"
2013,4.27,"kg/year","Kiel Bay"
2014,4.964,"kg/year","Bay of Mecklenburg"
2014,4.964,"kg/year","Great Belt"
2014,4.964,"kg/year","Kiel Bay"
2015,4.302,"kg/year","Bay of Mecklenburg"
2015,4.302,"kg/year","Great Belt"
2015,4.302,"kg/year","Kiel Bay"
2016,4.218,"kg/year","Bay of Mecklenburg"
2016,4.218,"kg/year","Great Belt"
2016,4.218,"kg/year","Kiel Bay"
